lat,lon,t2m,e,ro,tp,cdir,month_sin,sin_lat,sin_lon
8.25,77.25,0.1908853136191728,0.25945861658137953,0.17308860153886838,2.19545241818216,0.41440553428004884,0.5729147277561942,0.4554402552378347,0.2333712677352628
8.25,77.5,0.20211517177591887,0.2675999052405073,0.16258676660449944,2.254840674246188,0.3525220903161648,0.8844833301493399,0.46632206158175515,0.3002448652507233
8.25,77.75,0.1714766856835041,0.2739853087244877,0.1521608941101172,1.6886536994768488,0.36476961912763217,0.7163941024478385,0.5811102187853142,0.47886682543788217
8.5,77.0,0.1366803011953702,0.18384745095603763,0.24470842188058076,3.667992765616944,0.3767768811905705,0.8977268508985107,0.6390634246205183,0.39351400335653264
8.5,77.25,0.18365813954382967,0.3187275066530548,0.15248464433214567,2.3437811344192245,0.4209175645075814,0.9027609588161379,0.5200791051335866,0.24178938295665023
8.5,77.5,0.1982023712192662,0.2165900354742694,0.14121273373363585,1.9250302464852491,0.36409828413951967,0.8022211861618224,0.46282103727238844,0.26929375548352424
8.5,77.75,0.16849724422406645,0.21544080732927817,0.14591697459523437,1.5735938104330405,0.3444646276484195,0.6485894794764258,0.6240633819007503,0.5100503375635482
8.5,78.0,0.17237364215476664,0.2315541824020829,0.16654747332611947,1.687458671834717,0.28243443434995724,0.7458284863363936,0.5418755811867617,0.3853385452051028
8.75,76.75,0.15973188449083706,0.2547975726047628,0.21213017362525008,3.1094748631300497,0.3640674356893548,0.519921297628152,0.6079070660429801,0.25795837833022917
8.75,77.0,0.18099503804402597,0.24877710874210818,0.18850218602896598,2.109663788423697,0.4098904236041007,0.8288152111059244,0.6024038700344272,0.33022526790299245
8.75,77.25,0.1684241849959723,0.29318633950757056,0.20555400698399476,2.5036836565333607,0.3812005093997641,0.7285146729388717,0.4507305496830558,0.2000113453878941
8.75,77.5,0.21212607259879138,0.16697234451908183,0.14253329462855963,1.7380723473291113,0.36698869578735943,0.6730886519565847,0.4529099955909258,0.19907299453137076
8.75,77.75,0.25576382554832555,0.21575053301786773,0.12615681774098017,1.6691744175552832,0.3317419258281001,0.8812533754749703,0.5572586067209431,0.522164450369267
8.75,78.0,0.16958011522268154,0.24736554893190024,0.14423672523726533,2.1442451336854216,0.34736966556676907,0.7947756517494707,0.5371636222800044,0.4471622926342589
9.0,76.75,0.23777201476003976,0.20566114240108882,0.2354566868683763,2.885573395893405,0.3737648978658503,0.64253909313536,0.5647792710194165,0.28678448445464205
9.0,77.0,0.19546005604701155,0.27122379357126164,0.20480527494043801,2.342050769239295,0.4776412983254833,0.7869131882255116,0.6238892758252479,0.2869641594872977
9.0,77.25,0.16074972271773028,0.29672600671757327,0.21194195264431478,2.129942549884023,0.47184792082244925,0.641145160348457,0.5158517254190237,0.19833731359981188
9.0,77.5,0.17855550843449802,0.2070017905835097,0.1381396152224989,1.6321729286542446,0.3644399892924295,0.9061583568690492,0.40336005203304437,0.33343954232484446
9.0,77.75,0.4006394355424776,0.20123167452756321,0.11254398782307282,1.5261274046875282,0.37020728326447727,0.7633508556917702,0.5312153977253039,0.5505593308647536
9.0,78.0,0.27198018278425184,0.21550686274919814,0.11936176238959233,1.4904552357213314,0.27726885431787135,0.9952941423316761,0.43947491251976245,0.4776034435555826
9.0,78.25,0.20653152317547915,0.24629150163253766,0.15011542036200629,1.926646647451369,0.37979687517336624,0.7588057239116778,0.6265141044746124,0.4679516292754752
9.25,76.5,0.18787638137218332,0.26429525048458313,0.20520668453483873,2.655727789778201,0.45910460716843443,0.875602011016037,0.7091575438913118,0.4168664319894461
9.25,76.75,0.18907786838582413,0.26811257701749636,0.1831095342747372,2.819657465412633,0.3915462605008557,0.7855725591110193,0.7351675357675435,0.367108051933736
9.25,77.0,0.1966615092468987,0.22132507422690814,0.28375999640364424,3.390489644280102,0.546125515701388,0.5582043799042933,0.6293685852628068,0.270016406313308
9.25,77.25,0.2053940317343953,0.2578991580147161,0.23196823916648565,2.6944927550953213,0.4355263568417189,0.8028775915082964,0.4624855530499737,0.21039237038981778
9.25,77.5,0.12190749504933689,0.29208805348787104,0.15406332476065107,1.7328608262526635,0.43056265263760946,0.7546103774033689,0.42169549526342576,0.37487239986203014
9.25,77.75,0.3003398859150356,0.24083267146195356,0.1397914032074164,1.7585757442335692,0.37344286481062794,0.7882797660704663,0.5596566772651999,0.5978597946331413
9.25,78.0,0.30324757143261966,0.1776822466788358,0.13358531960164008,1.3664336881648307,0.3225911425652387,0.9856209405797531,0.6528643785819329,0.605900339308874
9.25,78.25,0.24283821000988556,0.26160658427239836,0.18335135675379435,3.387245355674736,0.3052503521393501,0.8373151929747524,0.5367500274196024,0.5318062003843352
9.25,78.5,0.3164114976390726,0.2544255819489305,0.12397869524105559,1.6229079088654974,0.3998295063187623,0.8977092341570686,0.5912902893641416,0.5388018422819314
9.25,78.75,0.16438302589299142,0.22560397601813623,0.1957903409383635,2.128184290060424,0.38896435076008273,0.8495678248382834,0.5158687661824299,0.5360821571427313
9.5,76.5,0.16396719659453288,0.28484093794116155,0.20436334837322326,3.309609078004439,0.4870744784264798,0.7284931932487112,0.9359919958796098,0.41877867484038106
9.5,76.75,0.17311896350745787,0.2104355521211625,0.18165643542893495,3.2517173042282472,0.47982032041075573,0.8125147891041626,0.9107564294851105,0.38300837382283703
9.5,77.0,0.23338111299688133,0.26613846886055953,0.2586890257242424,3.921472276814075,0.44143499288219207,0.7651723693390591,0.761122474658508,0.3149420606096388
9.5,77.25,0.29772707100301005,0.3204951533987883,0.2157806056809537,2.2657282728390253,0.509837110242311,0.8179946902562083,0.5756450575946946,0.2582714699749068
9.5,77.5,0.17678710578976273,0.32778098199787487,0.17793703865125668,2.724549313055618,0.5742805983758923,0.5643847906066787,0.5223329242162194,0.336465835257965
9.5,77.75,0.18237992984780776,0.22709770666916243,0.13055868302209458,1.5485782089557143,0.36076720719944455,0.9450822071464273,0.41410271616258326,0.5902686957390747
9.5,78.0,0.3272737312186625,0.2900070416218271,0.09282175884364029,1.9825346257914982,0.4683326378041378,0.8074341265708256,0.6753983471700432,0.5645729963165742
9.5,78.25,0.3258730852743458,0.24471995939113933,0.11886231053281485,2.016743259545125,0.3684512489264509,0.9558506042768099,0.5890992540193556,0.5572798214967826
9.5,78.5,0.22214297735087515,0.31723256312034065,0.1409102333512129,2.920745079352566,0.3389167464141596,0.9170855109491172,0.6205376755643555,0.5741284267327756
9.5,78.75,0.2583916838056103,0.3314780705886999,0.15394082580185675,2.4209235837220984,0.4537173650827555,0.8494381794089315,0.6849657395355849,0.5062922493644976
9.75,76.5,0.22850151046625589,0.25697493548668765,0.1782775247942696,3.244574911765611,0.41537413843213405,0.8558101373867424,0.7848940068098305,0.42347812976312543
9.75,76.75,0.11823544626839644,0.15493860504451815,0.2012501568022423,1.9077892533121172,0.7998865784547052,0.5833862897042347,0.9533082858665135,0.28219461036034593
9.75,77.0,0.24617150720277328,0.2674571938382057,0.21401577017832285,2.8114066935491513,0.4988287034637098,0.9885711358070208,0.5512111164974388,0.3104740590963022
9.75,77.25,0.21351556556474233,0.26486505386616527,0.1933517860160082,1.8962156932716074,0.6291855721209866,1.050519511854843,0.4399127233723214,0.25271262030132396
9.75,77.5,0.16843206491739268,0.3234423039701951,0.13789001775114101,1.9120716611288622,0.46874996868635643,0.6712042584892133,0.428781026536043,0.46111740892031083
9.75,77.75,0.16544139597854976,0.26479464711330436,0.11786499246658677,1.9250901941466592,0.4410537718450329,0.8617140400952708,0.46427622574955124,0.5939427031108591
9.75,78.0,0.5798465653623088,0.22644941144998917,0.10927744087406266,1.2379234037588933,0.4056454663273647,0.9202425674374961,0.6778443580768627,0.6203793900149667
9.75,78.25,0.4683751798956228,0.24048936167996954,0.14984169795863497,1.7147272810552854,0.4285005487493599,0.8973552831417145,0.6719878880404041,0.5824497029569586
9.75,78.5,0.32914434505548906,0.29763916350093483,0.12151023764578395,1.9210319751482035,0.3677962014198195,0.9028776858648396,0.5812394247447921,0.5816760314747437
9.75,78.75,0.1921334378929049,0.34796816373561307,0.0963905800417672,1.5352050890019475,0.3927113339764653,0.8932806956052364,0.6665301524516696,0.48171632248909557
9.75,79.0,0.1781550524009581,0.2167307310350664,0.1833938347477226,1.9664196011889006,0.44648763491907395,0.7906181430366347,0.5505642702492441,0.542692013760204
10.0,76.25,0.1532081044716861,0.2542725439371766,0.17674415899017507,4.121371286517524,0.3593933514495525,0.8266368973289482,0.9342347610092981,0.44631064851369645
10.0,76.5,0.21763907095456828,0.21321348283599548,0.20580811063956925,2.7303490388309295,0.43053643245482576,0.7851213840298749,0.661494426176772,0.32361366326620294
10.0,76.75,0.1548204584494653,0.1808733459948638,0.20889229756977992,3.4000865086574628,0.5491499144041807,0.8943644237807348,0.766731898677935,0.35039410904962054
10.0,77.0,0.29276288753901214,0.2489990864366454,0.2532304764441672,3.4959437329818517,0.5447601364818055,0.6358813957749864,0.7439952371856886,0.28112557375214503
10.0,77.25,0.3106340514848404,0.33768508114538304,0.17252353174424348,1.935851584819057,0.44493166938722467,0.7090087917649052,0.5149743681476827,0.2461427396016633
10.0,77.5,0.187161750972872,0.30260495474932647,0.15017139713535588,1.662382266982198,0.5138253582900797,0.7614130084358514,0.37182752011519343,0.46079781392427765
10.0,77.75,0.16572167316050776,0.3444040160335941,0.16860106120936622,2.4297434002311555,0.5111131587638696,0.6145876217683516,0.5183362214392466,0.5842249432843611
10.0,78.0,0.220503090577745,0.2607537303846652,0.11940083386093003,2.061338950072548,0.41925382217564877,0.8618523203495543,0.4738484668569366,0.5786924082772086
10.0,78.25,0.3227502190937413,0.2108803723507557,0.09691022970212093,1.5781073125143659,0.41681229512033907,1.145462776013581,0.551496609042389,0.5098017608677762
10.0,78.5,0.208029401396468,0.2975881514895427,0.15926216888050596,2.325066893276268,0.4368755497400137,0.8380709642253543,0.6406977443159116,0.569786622482461
10.0,78.75,0.26881190897596585,0.33839449308274133,0.1459781001900681,2.006727035202085,0.4170403575253478,0.7969788117694011,0.7167217203516759,0.507370670591578
10.0,79.0,0.2581265154443265,0.32346340992149714,0.17295061183295155,2.552962691789204,0.41346531120894264,0.8610614314895939,0.6113262133339368,0.4681458785341913
10.25,76.25,0.20016985492578104,0.24332389944848856,0.18551309659526907,2.837174235138801,0.5450652994013421,0.879420125773411,0.7544611941883342,0.28420060467532504
10.25,76.5,0.20065690910465084,0.19931867707536086,0.23607519235693591,3.093874955871866,0.5428651029978058,0.9183424857598125,0.8370313121300953,0.35862017682768865
10.25,76.75,0.2824556978700755,0.2450458863690365,0.2615332236603964,5.00124654106576,0.49553682923157727,0.7594797294379446,0.8949907404864017,0.24337916632062587
10.25,77.0,0.375641128509282,0.2889423196881559,0.25372383637400353,3.793548456530719,0.6164220863998935,0.9399164415723841,0.8258188535083424,0.2693788413515693
10.25,77.25,0.33206249305577995,0.3384773981078035,0.2804724038169491,2.6785760506726723,0.5832120728638494,0.5624449462245537,0.768136887195282,0.21904449169315526
10.25,77.5,0.21122874091941038,0.2791699711786127,0.1899563757960717,2.674853603489349,0.576199293689857,0.9544908781234376,0.5934743486282243,0.26088182715955854
10.25,77.75,0.21535230422622326,0.3019451631565691,0.19734163715308572,2.1873398299408415,0.571211705452575,0.8724003261495664,0.5689915494390096,0.4093385403316171
10.25,78.0,0.13716323324755703,0.2705899482130958,0.12746341954143817,2.042698880117289,0.5042690825364632,0.6789276410061981,0.5322885344630228,0.4317580031969098
10.25,78.25,0.2162798000220705,0.2698577405962745,0.15207362134128585,2.018587222388186,0.47981895128077406,0.8579787734776665,0.578676795285478,0.45977320459496895
10.25,78.5,0.3086269406892877,0.2171844382959315,0.12897572734774057,1.3620260191914548,0.3797440169239231,1.223457997284536,0.6119860240067343,0.47753989542961484
10.25,78.75,0.255342953358736,0.3155738766128329,0.16939684665932303,2.4366668571725487,0.5017264926561636,0.835193865698821,0.47001496111797136,0.5522509987033525
