Feature,Mean |SHAP|
tp,1.9538705631542428
cdir,0.8078157398999474
month_sin,0.7099425089316886
sin_lon,0.6562841040735443
sin_lat,0.6063303125393249
t2m,0.4107001606943306
e,0.3760600880302515
ro,0.16070145821316523
