,JJAS (Monsoon),DJF (Winter),MAM (Pre-Monsoon),ON (Post-Monsoon)
t2m,0.36104236477266266,0.46488732337479577,0.44485505754779536,0.3779326660579989
e,0.30742388582916513,0.4280818293790754,0.33515574212791294,0.496959189087088
ro,0.22027449935949936,0.11574190116431116,0.10535895931686393,0.19142364063462886
tp,3.1281210515214415,1.3428720465751143,1.323684807229251,1.4570027238625871
cdir,0.47654102652609526,1.3448212971872173,0.2921211842847169,1.4384750363903225
month_sin,0.6826544894211228,0.4811388996549644,1.17651275196229,0.40992421524077316
sin_lat,0.4893738511291637,0.8172626455382258,0.5924426365528936,0.5452797935836654
sin_lon,0.7422772509205393,0.5688420143162837,0.6505862320025055,0.6234467034806321
