lat,lon,accuracy,f1_macro,f1_weighted,mcc,balanced_accuracy,n_samples,f1_class0,f1_class1,f1_class2,f1_class3,f1_class4
9.5,76.5,0.75,0.4717261904761904,0.7450396825396827,0.5139671941954066,0.44625000000000004,48,0.90625,0.5,0.2857142857142857,0.0,0.6666666666666666
9.5,76.75,0.7708333333333334,0.4397101449275363,0.7532004830917874,0.5114385318924753,0.4070833333333333,48,0.8985507246376812,0.5,0.0,0.0,0.8
9.5,77.0,0.7708333333333334,0.4363095238095238,0.7451388888888889,0.45679281951538525,0.41228991596638653,48,0.9166666666666666,0.42857142857142855,0.0,0.0,0.4
9.5,77.25,0.8541666666666666,0.43240506329113926,0.8399789029535865,0.5409970961872059,0.4615384615384615,48,0.9620253164556962,0.4,0.4,0.0,0.4
9.5,77.5,0.8958333333333334,0.4774654172244534,0.892235609103079,0.5803914057165104,0.5476190476190476,48,0.9879518072289156,0.4444444444444444,0.0,0.0,0.0
9.5,77.75,0.8333333333333334,0.3701754385964912,0.856140350877193,0.5398061053862984,0.39166666666666666,48,0.9473684210526315,0.5333333333333333,0.0,0.0,0.0
9.5,78.0,0.7083333333333334,0.2044534412955466,0.7875759109311741,0.2556683738837498,0.2751937984496124,48,0.868421052631579,0.15384615384615385,0.0,0.0,0.0
9.5,78.25,0.875,0.44333333333333325,0.8878472222222221,0.5833253435055251,0.6317073170731707,48,0.95,0.6,0.6666666666666666,0.0,0.0
9.5,78.5,0.875,0.4033333333333333,0.8836805555555554,0.5826767817187265,0.5442073170731707,48,0.95,0.6666666666666666,0.4,0.0,0.0
9.5,78.75,0.8333333333333334,0.48376623376623373,0.8521374458874459,0.519420301701833,0.6,48,0.935064935064935,0.5,0.0,0.5,0.0
9.75,76.5,0.8125,0.7481520966595594,0.8101160862354893,0.611966067490601,0.7175324675324675,48,0.8955223880597015,0.42857142857142855,0.75,0.6666666666666666,1.0
9.75,76.75,0.7916666666666666,0.5655072463768116,0.7950785024154591,0.5517899110776877,0.5961904761904762,48,0.927536231884058,0.3333333333333333,0.4,0.6666666666666666,0.5
9.75,77.0,0.8541666666666666,0.5662857142857142,0.8632738095238093,0.6214412061363673,0.6694736842105262,48,0.96,0.4,0.4,0.5,0.5714285714285714
9.75,77.25,0.8958333333333334,0.7188744588744589,0.9203102453102453,0.7198602976302465,0.8183333333333334,48,0.961038961038961,0.3333333333333333,0.5,1.0,0.8
9.75,77.5,0.7708333333333334,0.6045947488584474,0.8148306697108066,0.49754350499280364,0.7576219512195121,48,0.8767123287671232,0.375,0.5,0.6666666666666666,0.0
9.75,77.75,0.8333333333333334,0.45625000000000004,0.853125,0.45409242488491414,0.5952380952380952,48,0.925,0.4,0.5,0.0,0.0
9.75,78.0,0.7083333333333334,0.2837422037422037,0.7779106029106028,0.31370916759947914,0.5029761904761905,48,0.8648648648648649,0.15384615384615385,0.4,0.0,0.0
9.75,78.25,0.8125,0.6606060606060606,0.8523989898989899,0.5056992881678963,0.8333333333333334,48,0.9090909090909091,0.3333333333333333,0.4,1.0,0.0
9.75,78.5,0.875,0.6291666666666667,0.8836805555555554,0.583322370236764,0.7317073170731707,48,0.95,0.5,0.4,0.6666666666666666,0.0
9.75,78.75,0.8958333333333334,0.34512195121951217,0.9161585365853658,0.6143153645644551,0.4255952380952381,48,0.975609756097561,0.75,0.0,0.0,0.0
9.75,79.0,0.7291666666666666,0.2865079365079365,0.794890873015873,0.38224487444153404,0.4316239316239316,48,0.8611111111111112,0.5714285714285714,0.0,0.0,0.0
10.0,76.25,0.75,0.5053479853479853,0.7548076923076924,0.44827007459134627,0.47714285714285715,48,0.8857142857142857,0.3076923076923077,0.6666666666666666,0.0,0.6666666666666666
