,Accuracy,F1 Macro,Kappa,MCC,Balanced Accuracy
LightGBM (Default),0.6299970922276956,0.38212312556644484,0.3505102896315849,0.3566317016926242,0.43229711332805076
LightGBM (Tuned),0.7307590996168583,0.524964067869557,0.5207209655651677,0.5279294485430954,0.5629924323405506
