,Non Drought,Mild Drought,Moderate Drought,Severe Drought,Extreme Drought
t2m,0.8333548756537512,0.36722009216301044,0.2026880386055421,0.23031744424083775,0.4199203528085139
e,0.6294704734948777,0.32332231898338426,0.1086834991879896,0.2908763365909549,0.5279478118940393
ro,0.24754927421410888,0.13510413452205042,0.10918671618611556,0.1543645853709026,0.15730258077264825
tp,3.284118399655195,0.7133381587329672,1.0903748076952913,2.172691517073054,2.508829932614746
cdir,1.2169866197185926,0.32984584702782643,0.3024342975609442,0.9256498020693,1.2641621331230322
month_sin,1.3593153704500514,0.4968227557888154,0.1959747143769679,0.6342800382444864,0.863319665798107
sin_lat,1.160188514535767,0.36292121319955184,0.19272185389253657,0.5120486322565458,0.8037713488122417
sin_lon,1.358709651674557,0.445530132597743,0.2153907867676684,0.5597080348080358,0.7020819145197083
